Date,Open,High,Low,Close,Adj Close,Volume
2022-06-07,43.500000,44.250000,43.200001,44.220001,42.679485,4812800
2022-06-08,43.970001,44.040001,43.060001,43.160000,41.656410,5418800
2022-06-09,43.009998,43.340000,42.160000,42.169998,40.700897,5533800
2022-06-10,41.610001,41.730000,41.150002,41.169998,39.735737,8566800
2022-06-13,40.099998,40.259998,39.020000,39.189999,37.824715,13192800
2022-06-14,39.320000,39.400002,38.630001,38.910000,37.554470,9800800
2022-06-15,39.299999,40.360001,39.169998,39.799999,38.413464,9429200
2022-06-16,38.930000,39.310001,38.660000,38.849998,37.496555,8398000
2022-06-17,39.029999,39.639999,38.743999,39.080002,37.718548,14302000
2022-06-21,39.180000,39.820000,39.139999,39.490002,38.421009,6031800
2022-06-22,39.119999,40.685001,39.080002,40.130001,39.043682,5776400
2022-06-23,40.320000,41.055000,40.279999,40.919998,39.812294,7414500
2022-06-24,41.209999,41.830002,41.099998,41.810001,40.678204,6781800
2022-06-27,41.730000,42.169998,41.470001,41.660000,40.532261,4743000
2022-06-28,41.869999,42.180000,41.020000,41.090000,39.977695,3487300
2022-06-29,40.750000,40.919998,40.270000,40.830002,39.724735,4473000
2022-06-30,40.650002,41.360001,40.330002,40.860001,39.753922,4305200
2022-07-01,40.779999,41.709999,40.720001,41.590000,40.464157,4894100
2022-07-05,41.180000,41.419998,40.415001,41.419998,40.298756,4563400
2022-07-06,41.590000,41.959999,41.279999,41.389999,40.269569,5866400
2022-07-07,41.590000,41.840000,41.279999,41.419998,40.298756,3019300
2022-07-08,41.259998,41.505001,41.020000,41.230000,40.113903,3067500
2022-07-11,41.110001,41.349998,40.830002,41.230000,40.113903,3716600
2022-07-12,41.000000,41.424999,40.680000,40.970001,39.860943,3978300
2022-07-13,40.490002,41.090000,40.240002,40.750000,39.646896,5314500
2022-07-14,40.040001,40.529999,39.990002,40.349998,39.257725,4305800
2022-07-15,40.849998,41.244999,40.630001,41.000000,39.890129,3126600
2022-07-18,41.290001,41.299999,40.450001,40.599998,39.500957,4191200
2022-07-19,40.990002,41.790001,40.910000,41.720001,40.590637,3414900
2022-07-20,41.610001,42.099998,41.380001,41.509998,40.386326,3630300
